ID,Filename,Title,LendingInstitution,CommonName,LatinName,Family,Behaviour,Habitat,GeographicalRange,Element,HeadorBody,BoneLocation,Side,View
610,ecdc259a0279336aab5979515e72e9cf.jpg,Arctic Char hyomandibular medial view,University of Nottingham,Arctic Char,Salvelinus alpinus alpinus,Salmonidae,Anadromous,Benthopelagic,Temperate,Hyomandibular,Head,Hyoid region,Left,Medial View
611,00dfa3e0721dbe5fc6cd6ee118193dc3.jpg,Arctic Char subopercular medial view,University of Nottingham,Arctic Char,Salvelinus alpinus alpinus,Salmonidae,Anadromous,Benthopelagic,Temperate,Subopercular,Head,Hyoid region,Left,Medial View
612,7b60d3535133e8b14a5272e3af31ea54.jpg,Arctic Char precaudal vertebra lateral view,University of Nottingham,Arctic Char,Salvelinus alpinus alpinus,Salmonidae,Anadromous,Benthopelagic,Temperate,Precaudal vertebra,Body,Vertebral column,Left,Lateral View
613,59dac538dfeb77b93492e4b72104e24d.jpg,Arctic Char maxilla medial view,University of Nottingham,Arctic Char,Salvelinus alpinus alpinus,Salmonidae,Anadromous,Benthopelagic,Temperate,Maxilla,Head,Oromandibular region,Left,Medial View
614,99cc834857435466735a76d8fdffe66f.jpg,Arctic Char ceratohyal medial view,University of Nottingham,Arctic Char,Salvelinus alpinus alpinus,Salmonidae,Anadromous,Benthopelagic,Temperate,Ceratohyal,Head,Hyoid region,Left,Medial View
615,8516e3eb4ae1dff039bd2212f60a2c44.jpg,Arctic Char maxilla lateral view,University of Nottingham,Arctic Char,Salvelinus alpinus alpinus,Salmonidae,Anadromous,Benthopelagic,Temperate,Maxilla,Head,Oromandibular region,Left,Lateral View
616,c5273e2464ac6dfeccecc6c383c09d5f.jpg,Arctic Char premaxilla lateral view,University of Nottingham,Arctic Char,Salvelinus alpinus alpinus,Salmonidae,Anadromous,Benthopelagic,Temperate,Premaxilla,Head,Oromandibular region,Left,Lateral View
617,7e496f20de14f2cc4b34db0e7ddf6b1c.jpg,Arctic Char articular medial view,University of Nottingham,Arctic Char,Salvelinus alpinus alpinus,Salmonidae,Anadromous,Benthopelagic,Temperate,Articular,Head,Oromandibular region,Left,Medial View
618,952431f8f1375e2721e31512b5897875.jpg,Arctic Char premaxilla medial view,University of Nottingham,Arctic Char,Salvelinus alpinus alpinus,Salmonidae,Anadromous,Benthopelagic,Temperate,Premaxilla,Head,Oromandibular region,Left,Medial View
619,e5d1c05537d8a45b055cdc67575435c6.jpg,Arctic Char quadrate lateral view,University of Nottingham,Arctic Char,Salvelinus alpinus alpinus,Salmonidae,Anadromous,Benthopelagic,Temperate,Quadrate,Head,Oromandibular region,Left,Lateral View
620,831a1c20262aabaece9ace38947d7e13.jpg,Arctic Char ceratohyal lateral view,University of Nottingham,Arctic Char,Salvelinus alpinus alpinus,Salmonidae,Anadromous,Benthopelagic,Temperate,Ceratohyal,Head,Hyoid region,Left,Lateral View
621,c083a8494b7499d0582c96d502381750.jpg,Arctic Char cleithrum medial view,University of Nottingham,Arctic Char,Salvelinus alpinus alpinus,Salmonidae,Anadromous,Benthopelagic,Temperate,Cleithrum,Head,Appendicular skeleton,Left,Medial View
